ID,Organism,type
16,"gi|1572540177|emb|VDD89155.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Aenigmarchaeota,IIIb
17,gi|1277768226|gb|PIT85720.1| type III ribulose-bisphosphate carboxylase [Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_59_7],Micrarchaeota,IIIb
18,"gi|1572540261|emb|VDD89218.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
19,gi|738479616|ref|WP_036429835.1| form I ribulose bisphosphate carboxylase large subunit [Mycolicibacterium mageritense] >gi|602544287|emb|CDO21134.1| Ribulose bisphosphate carboxylase large chain [Mycolicibacterium mageritense DSM 44476 = CIP 104973],reference,I
20,"gi|1572539530|emb|VDD88826.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
21,gi|1276446210|gb|PIO08000.1| type III ribulose-bisphosphate carboxylase [Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12],Pacearchaeota,IIIb
22,"gi|499768544|ref|WP_011449278.1| ribulose-bisphosphate carboxylase [Methanospirillum hungatei] >gi|88189023|gb|ABD42020.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Methanospirillum hungatei JF-1]",reference,IIIa
23,"gi|1572540025|emb|VDD89045.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
24,"gi|1572541061|emb|VDS11157.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,IIIb
25,"gi|1572540039|emb|VDD89054.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
26,"gi|1572539973|emb|VDD89004.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
27,gi|488805187|ref|WP_002717593.1| form I ribulose bisphosphate carboxylase large subunit [Afipia felis] >gi|410882158|gb|EKS29998.1| ribulose bisphosphate carboxylase large chain [Afipia felis ATCC 53690] >gi|1443624128|emb|SUU78705.1| Ribulose bisphosphate carboxylase large chain [Afipia felis] >gi|1443636148|emb|SUU86770.1| Ribulose bisphosphate carboxylase large chain [Afipia felis],reference,I
28,"gi|1572540293|emb|VDD89243.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
29,"gi|1572540055|emb|VDD89065.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
30,"gi|1572539518|emb|VDD88815.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
31,"gi|1572539975|emb|VDD89005.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
32,"gi|1572540133|emb|VDD89118.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
33,"gi|1572539548|emb|VDD88843.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
34,"gi|1572539586|emb|VDD88872.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
35,"gi|1572539434|emb|VDD88754.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
36,"gi|1572539398|emb|VDD88724.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
37,"gi|1572540001|emb|VDD89029.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
38,"gi|1572539338|emb|VDD88660.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
39,"gi|1572540115|emb|VDD89109.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
40,"gi|1572539662|emb|VDD88923.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
41,"gi|1572540073|emb|VDD89085.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
42,"gi|1572540127|emb|VDD89115.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
43,"gi|1572540085|emb|VDD89091.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
44,"gi|1572539969|emb|VDD89001.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
45,"gi|1572539985|emb|VDD89010.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
46,"gi|1572540219|emb|VDD89180.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
47,"gi|499681920|ref|WP_011362654.1| ribulose-bisphosphate carboxylase [Chlorobium chlorochromatii] >gi|78171796|gb|ABB28892.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Chlorobium chlorochromatii CaD3]",reference,IV
48,"gi|1572539406|emb|VDD88728.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
49,"gi|1572539624|emb|VDD88895.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
50,"gi|1572540165|emb|VDD89149.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
51,"gi|1572539390|emb|VDD88720.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
52,"gi|1572539935|emb|VDD88971.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
53,"gi|1572540295|emb|VDD89244.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
54,"gi|489273363|ref|WP_003181075.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|218511699|sp|Q65KJ8.2|MTNW_BACLD RecName: Full=2,3-diketo-5-methylthiopentyl-1-phosphate enolase; Short=DK-MTP-1-P enolase; AltName: Full=RuBisCO-like protein; Short=RLP >gi|52003120|gb|AAU23062.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis DSM 13 = ATCC 14580] >gi|765361250|gb|KJE30132.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1036320951|gb|OAZ64243.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1065095598|gb|AOP14661.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1094587900|emb|SEQ79545.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1169579198|gb|ARC62632.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1169588989|gb|ARC65898.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1169594773|gb|ARC71911.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1169595990|gb|ARC73127.1| 2,3-diketo-5-methylthiopentyl-1-phosphateenolase [Bacillus licheniformis] >gi|1201060753|gb|ARW42264.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1201072134|gb|ARW53631.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1334852988|dbj|GBC66445.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1352839593|gb|AVI49187.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1405846660|gb|PZW88014.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus sp. AG442] >gi|1411441791|emb|SPU01943.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1527123824|gb|RRD99954.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1540081894|emb|VEH77737.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1560243646|gb|RWZ53520.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1560700549|gb|QAS15810.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1561302583|gb|QAT52841.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1564098700|gb|QAW37203.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1564104105|gb|QAW28581.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1596204319|gb|TDO65943.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis] >gi|1604727737|gb|QBR19690.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus licheniformis]",reference,IV
55,TARA_037.SAMEA2619974.600.0.1-0.22_8582_9 /annotation=rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39) /ngenes=16,Pacearchaeota,IIIb
56,TARA_151.SAMEA2623868.80.0.22-3_1797646_20 /annotation=hypothetical protein/ngenes=32,putative_phage,IVlike
57,"gi|499709017|ref|WP_011389751.1| ribulose-bisphosphate carboxylase [Rhodospirillum rubrum] >gi|83593333|ref|YP_427085.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodospirillum rubrum ATCC 11170] >gi|123725951|sp|Q2RSU7.1|RLP_RHORT RecName: Full=5-methylthioribulose-1-phosphate isomerase >gi|83576247|gb|ABC22798.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Rhodospirillum rubrum ATCC 11170] >gi|346718504|gb|AEO48519.1| ribulose 1,5-bisphosphate carboxylase large subunit [Rhodospirillum rubrum F11]",reference,IV
58,"gi|132051|sp|P00875.1|RBL_SPIOL RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit; Flags: Precursor >gi|12291|emb|CAA23473.1| ribulose 1,5-bisphophate carboxylase [Spinacia oleracea]",reference,I
59,"gi|2978568|gb|AAC38280.1| ribulose-1,5-bisphosphate carboxylase/oxygenase [endosymbiont of Riftia pachyptila]",reference,II
60,RBC4_6 gi|503663498|ref|WP_013897574.1|,reference,II/III
61,RBCSeed_31 RIFCSPLOWO2_02_FULL_OP11_38_8_rifcsplowo2_02_scaffold_81990_5,Gottesmanbacteria,II/III
62,RBCSeed_26 gi|818320692|gb|KKQ04046.1|,Dojkabacteria,II/III
63,"gwa2_scaffold_913_23 Ribulose bisphosphate carboxylase, type III Tax=GWC2_OD1_39_14 id=5012952 bin=""GWA2_OD1_40_23"" species=GWC2_OD1_39_14 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Parcubacteria organism_tax=GWC2_OD1_39_14, Parcubacteria, Bacteria",Parcubacteria,IIIc
64,"RBG_19FT_COMBO_Archaea_DUSEL1_34_9_rbg_19ft_combo_scaffold_707_32 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_13_Pacearchaeota_33_26_curated id=87218159 bin=""Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9"" species=RBG_13_Pacearchaeota_33_26_curated genus=unknown taxon_order=unknown taxon_class=Pacearchaeota phylum=DPANN organism_tax=RBG_13_Pacearchaeota_33_26_curated, Pacearchaeota, DPANN, Archaea",Pacearchaeota,IIIb
65,"RIFCSPHIGHO2_02_FULL_OP11_39_11_rifcsphigho2_02_scaffold_11740_29 ribulose bisphosphate carboxylase, type III; K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated id=87856221 bin=""Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_02_FULL_39_11"" species=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated",Gottesmanbacteria,IIIlike
66,"gi|1572540279|emb|VDD89233.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
67,"gi|1572539584|emb|VDD88871.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
68,"gi|1572539917|emb|VDD88955.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
69,"gi|1572539979|emb|VDD89007.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
70,"gi|1572540215|emb|VDD89176.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
71,"gi|1572540057|emb|VDD89073.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
72,"gi|1572540125|emb|VDD89114.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
73,"gi|1572541033|emb|VDS11143.1| RuBisCO long chain, Form III-b [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541045|emb|VDS11149.1| RuBisCO long chain [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541107|emb|VDS11180.1| RuBisCO long chain [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541119|emb|VDS11186.1| RuBisCO long chain [uncultured Candidatus Woesearchaeota archaeon]",Woesearchaeota,IIIb
74,"gi|1572539943|emb|VDD88977.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
75,"gi|1572540287|emb|VDD89238.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
76,"gi|1572539546|emb|VDD88842.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
77,"gi|1572539612|emb|VDD88889.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
78,"gi|1572539360|emb|VDD88693.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
79,"gi|1572540173|emb|VDD89153.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
80,"gi|1572539430|emb|VDD88752.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
81,"gi|1572540031|emb|VDD89050.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
82,"gi|1572539578|emb|VDD88868.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
83,"gi|1572539957|emb|VDD88990.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
84,"gi|1572539955|emb|VDD88985.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
85,"gi|851165346|ref|WP_048093891.1| type III ribulose-bisphosphate carboxylase [Candidatus Methanoperedens nitroreducens] >gi|630828655|gb|KCZ70371.1| ribulose bisphosphate carboxylase, type III [Candidatus Methanoperedens nitroreducens]",reference,IIIb
86,"gi|1572539939|emb|VDD88973.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
87,"gi|1572539514|emb|VDD88813.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
88,"gi|1572541055|emb|VDS11154.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon] >gi|1572541095|emb|VDS11174.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,IIIb
89,"gi|1572539358|emb|VDD88685.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
90,"gi|1572540061|emb|VDD89075.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
91,"gi|1572539474|emb|VDD88778.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
92,"gi|1572540281|emb|VDD89234.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
93,"gi|1572540109|emb|VDD89106.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
94,"gi|1572540015|emb|VDD89036.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
95,"gi|1572540065|emb|VDD89077.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
96,"gi|1572540069|emb|VDD89081.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
97,"gi|1572539616|emb|VDD88891.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Aenigmarchaeota,IIIb
98,"gi|1572541051|emb|VDS11152.1| RuBisCO long chain, Form III-b [uncultured Candidatus Woesearchaeota archaeon]",Woesearchaeota,IIIb
99,"gi|1572539686|emb|VDD88945.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
100,"gi|1572539572|emb|VDD88862.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
101,"gi|1572539524|emb|VDD88823.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Levybacteria,IIIb
102,"gi|1572540095|emb|VDD89096.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
103,"gi|1572539626|emb|VDD88896.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
104,"gi|1572539370|emb|VDD88704.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
105,"gi|1572539336|emb|VDD88659.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
106,"gi|1572540045|emb|VDD89058.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
107,"gi|1572539452|emb|VDD88767.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
108,"gi|1572539582|emb|VDD88870.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
109,"gi|1572539991|emb|VDD89019.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Levybacteria,IIIb
110,"gi|1572539550|emb|VDD88844.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
111,"gi|1572540243|emb|VDD89203.1| RuBisCO long chain, Form IV [uncultured bacterium]",Parcubacteria,IV
112,"TARA_132.SAMEA2623059.5.0.22-3_2673465_3 /annotation=Ribulose 1,5-bisphosphate carboxylase, large subunit /ngenes=13",putative_phage,IVlike
113,"gi|499565835|ref|WP_011246618.1| MULTISPECIES: 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus] >gi|81175069|sp|Q5WH45.1|MTNW_BACSK RecName: Full=Putative 2,3-diketo-5-methylthiopentyl-1-phosphate enolase; Short=DK-MTP-1-P enolase; AltName: Full=RuBisCO-like protein; Short=RLP >gi|56909783|dbj|BAD64310.1| ribulose bisphosphate carboxylase [Bacillus clausii KSM-K16] >gi|815856241|gb|KKI85639.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|922061924|gb|ALA51049.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1110118938|emb|SHL02333.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus rhizosphaerae] >gi|1237172681|gb|PAD18070.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1237203864|gb|PAD48549.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1237344798|gb|PAE84653.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii] >gi|1237350845|gb|PAE90587.1| 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [Bacillus clausii]",reference,IV
114,"gi|499821916|ref|WP_011502650.1| ribulose-bisphosphate carboxylase [Rhodopseudomonas palustris] >gi|91683166|gb|ABE39468.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Rhodopseudomonas palustris BisB5]",reference,IV
115,"gi|499948178|ref|WP_011628912.1| ribulose-bisphosphate carboxylase [Alkalilimnicola ehrlichii] >gi|114226718|gb|ABI56517.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Alkalilimnicola ehrlichii MLHE-1]",reference,IV
116,"gi|158512861|sp|A2SFV1.1|RBL1A_METPP RecName: Full=Ribulose bisphosphate carboxylase large chain 1; Short=RuBisCO large subunit 1 >gi|124259446|gb|ABM94440.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Methylibium petroleiphilum PM1]",reference,I
117,RBC3_1 WP_012823967.1,reference,II
118,RBC4_4 gi|504865161|ref|WP_015052263.1|,reference,II/III
119,RBCSeed_14 gi|502802415|ref|WP_013037391.1|,reference,II/III
120,"gwa2_scaffold_143220_2 Ribulose bisphosphate carboxylase, type III Tax=OP11_GWA2_32_13 id=2264872 bin=""OP11_GWA2_32_13"" species=OP11_GWA2_32_13 genus=unknown taxon_order=unknown taxon_class=Roizmanbacteria phylum=Microgenomates organism_tax=OP11_GWA2_32_13, Roizmanbacteria, Microgenomates, Bacteria organism_desc=partial",Roizmanbacteria,IIIlike
121,"gi|1572541139|emb|VDS11196.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon] >gi|1572541157|emb|VDS11205.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon] >gi|1572541163|emb|VDS11208.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,II/III
122,"gi|1572539476|emb|VDD88779.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
123,"gi|1572541007|emb|VDS11130.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,II/III
124,"gi|1278491485|gb|PJA14308.1| ribulose 1,5-bisphosphate carboxylase [Candidatus Dojkabacteria bacterium CG_4_10_14_0_2_um_filter_Dojkabacteria_WS6_41_15]",Dojkabacteria,II/III
125,"gi|1572540265|emb|VDD89220.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Dojkabacteria,IIIc
126,"gi|1572539682|emb|VDD88943.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
127,gi|1176153972|gb|OQX71191.1| type III ribulose-bisphosphate carboxylase [Candidatus Parcubacteria bacterium 4484_255],Parcubacteria,IIIc
128,gi|1176153972|gb|OQX71191.1| type III ribulose-bisphosphate carboxylase [Candidatus Parcubacteria bacterium 4484_255],reference,IIIc
129,"gi|1572539702|emb|VDD88953.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
130,"gi|1572539330|emb|VDD88628.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
131,"gi|1572539506|emb|VDD88809.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
132,"gi|1572539378|emb|VDD88708.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
133,"gi|1572540205|emb|VDD89171.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
134,"gi|1572539520|emb|VDD88816.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
135,"gi|1572539646|emb|VDD88909.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
136,"gi|1572539472|emb|VDD88777.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
137,"gi|1572540093|emb|VDD89095.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
138,"gi|1572539648|emb|VDD88910.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
139,"gi|1572540149|emb|VDD89129.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
140,"gi|1572541009|emb|VDS11131.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon] >gi|1572541047|emb|VDS11150.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon] >gi|1572541093|emb|VDS11173.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon]",Diapherotrites,IIIb
141,"gi|1572539614|emb|VDD88890.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
142,"gi|1572539630|emb|VDD88898.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
143,"gi|1572540241|emb|VDD89201.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
144,"gi|1572541005|emb|VDS11129.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
145,"gi|1572540203|emb|VDD89170.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
146,"gi|1572540053|emb|VDD89064.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
147,"gi|1572539346|emb|VDD88676.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
148,"gi|1572540105|emb|VDD89104.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
